lambda,rating,connection,length,< 0.97,< 0.95,< 0.92,< 0.9
1.0,30,nearest,649.9461352121434,15.62753036437247,4.65587044534413,0.4048582995951417,0.0
1.0,50,nearest,649.9461352121434,17.36842105263158,11.133603238866396,2.0242914979757085,0.0
1.0,100,nearest,649.9461352121434,19.63562753036437,13.805668016194332,10.607287449392713,5.020242914979757
1.0,120,nearest,649.9461352121434,20.8502024291498,14.089068825910932,11.093117408906885,7.489878542510121
1.0,150,nearest,649.9461352121434,22.71255060728745,14.17004048582996,12.672064777327936,10.68825910931174
1.0,180,nearest,649.9461352121434,25.060728744939272,15.182186234817811,13.19838056680162,11.578947368421051
1.0,250,nearest,649.9461352121434,26.88259109311741,17.93522267206478,13.441295546558704,13.157894736842104
1.0,350,nearest,649.9461352121434,38.46153846153846,23.19838056680162,14.736842105263158,13.441295546558704
1e-06,30,optimal,649.9461352121434,15.62753036437247,4.65587044534413,0.4048582995951417,0.0
1e-06,50,optimal,3475.724266677338,21.336032388663966,11.133603238866396,2.0242914979757085,0.0
1e-06,100,optimal,7148.909778597008,27.327935222672064,13.643724696356276,3.88663967611336,0.2834008097165992
1e-06,120,optimal,7608.997943216353,28.82591093117409,14.777327935222672,3.88663967611336,1.2550607287449391
1e-06,150,optimal,9047.063645704766,27.408906882591094,5.2631578947368425,4.048582995951417,3.7651821862348176
1e-06,180,optimal,10035.520801543258,32.18623481781376,14.089068825910932,5.020242914979757,3.88663967611336
1e-06,250,optimal,11550.142100320722,30.242914979757085,9.635627530364372,4.089068825910931,0.1619433198380566
1e-06,350,optimal,13712.48291381722,31.61943319838057,16.639676113360323,4.251012145748988,0.6477732793522267
1.0,30,optimal,649.9461352121434,15.62753036437247,4.65587044534413,0.4048582995951417,0.0
1.0,50,optimal,3475.724266677338,21.336032388663966,11.133603238866396,2.0242914979757085,0.0
1.0,100,optimal,7148.909778597008,27.327935222672064,13.643724696356276,3.88663967611336,0.2834008097165992
1.0,120,optimal,7608.997943216353,28.82591093117409,14.777327935222672,3.88663967611336,1.2550607287449391
1.0,150,optimal,9047.063645704766,27.408906882591094,5.2631578947368425,4.048582995951417,3.7651821862348176
1.0,180,optimal,10035.520801543258,32.18623481781376,14.089068825910932,5.020242914979757,3.88663967611336
1.0,250,optimal,11550.142100320722,30.242914979757085,9.635627530364372,4.089068825910931,0.1619433198380566
1.0,350,optimal,13712.48291381722,31.61943319838057,16.639676113360323,4.251012145748988,0.6477732793522267
1000000.0,30,optimal,24486.342395417392,8.623481781376519,4.2105263157894735,0.1619433198380566,0.0
1000000.0,50,optimal,24486.342395417392,9.068825910931174,4.2105263157894735,0.1619433198380566,0.0
1000000.0,100,optimal,24486.342395417392,10.526315789473683,4.251012145748988,0.1619433198380566,0.0
1000000.0,120,optimal,25726.30745703366,12.267206477732794,4.2105263157894735,0.1619433198380566,0.0
1000000.0,150,optimal,24486.342395417392,15.991902834008098,4.251012145748988,0.242914979757085,0.0
1000000.0,180,optimal,24486.342395417392,17.28744939271255,4.251012145748988,0.242914979757085,0.0
1000000.0,250,optimal,24486.342395417392,20.526315789473685,6.315789473684211,0.242914979757085,0.0
1000000.0,350,optimal,24486.342395417392,23.03643724696356,8.34008097165992,0.242914979757085,0.0
