lambda,rating,connection,length,< 0.97,< 0.95,< 0.92,< 0.9
1.0,30,nearest,262.2997191858012,4.794520547945205,1.67427701674277,0.228310502283105,0.076103500761035
1.0,50,nearest,262.2997191858012,4.87062404870624,1.67427701674277,0.228310502283105,0.076103500761035
1.0,100,nearest,262.2997191858012,4.946727549467275,1.67427701674277,0.228310502283105,0.076103500761035
1.0,120,nearest,262.2997191858012,4.946727549467275,1.67427701674277,0.228310502283105,0.076103500761035
1.0,150,nearest,262.2997191858012,4.946727549467275,1.7503805175038052,0.228310502283105,0.076103500761035
1.0,180,nearest,262.2997191858012,5.175038051750381,1.7503805175038052,0.228310502283105,0.076103500761035
1.0,250,nearest,262.2997191858012,5.707762557077626,1.7503805175038052,0.228310502283105,0.076103500761035
1.0,350,nearest,262.2997191858012,13.013698630136986,1.9025875190258752,0.228310502283105,0.076103500761035
1e-06,30,optimal,,,,,
1e-06,50,optimal,,,,,
1e-06,100,optimal,,,,,
1e-06,120,optimal,,,,,
1e-06,150,optimal,,,,,
1e-06,180,optimal,,,,,
1e-06,250,optimal,,,,,
1e-06,350,optimal,,,,,
1.0,30,optimal,,,,,
1.0,50,optimal,,,,,
1.0,100,optimal,,,,,
1.0,120,optimal,,,,,
1.0,150,optimal,,,,,
1.0,180,optimal,,,,,
1.0,250,optimal,,,,,
1.0,350,optimal,,,,,
1000000.0,30,optimal,,,,,
1000000.0,50,optimal,,,,,
1000000.0,100,optimal,,,,,
1000000.0,120,optimal,,,,,
1000000.0,150,optimal,,,,,
1000000.0,180,optimal,,,,,
1000000.0,250,optimal,,,,,
1000000.0,350,optimal,,,,,
