lambda,rating,connection,length,< 0.97,< 0.95,< 0.92,< 0.9
1.0,30,nearest,1063.8004587356118,16.872427983539094,11.02880658436214,0.1646090534979424,0.0
1.0,50,nearest,1063.8004587356118,17.366255144032923,11.11111111111111,0.1646090534979424,0.0
1.0,100,nearest,1063.8004587356118,25.925925925925927,11.687242798353909,0.411522633744856,0.0
1.0,120,nearest,1063.8004587356118,27.160493827160494,11.934156378600823,0.411522633744856,0.0
1.0,150,nearest,1063.8004587356118,29.46502057613169,12.921810699588477,0.411522633744856,0.0
1.0,180,nearest,1063.8004587356118,30.94650205761317,19.012345679012345,0.411522633744856,0.0
1.0,250,nearest,1063.8004587356118,38.51851851851852,23.127572016460903,1.0699588477366255,0.0
1.0,350,nearest,1063.8004587356118,48.31275720164609,25.761316872427983,9.135802469135802,1.728395061728395
1e-06,30,optimal,1063.8004587356118,16.872427983539094,11.02880658436214,0.1646090534979424,0.0
1e-06,50,optimal,1063.8004587356118,17.366255144032923,11.11111111111111,0.1646090534979424,0.0
1e-06,100,optimal,1063.8004587356118,25.925925925925927,11.687242798353909,0.411522633744856,0.0
1e-06,120,optimal,1063.8004587356118,27.160493827160494,11.934156378600823,0.411522633744856,0.0
1e-06,150,optimal,1063.8004587356118,29.46502057613169,12.921810699588477,0.411522633744856,0.0
1e-06,180,optimal,1063.8004587356118,30.94650205761317,19.012345679012345,0.411522633744856,0.0
1e-06,250,optimal,1063.8004587356118,38.51851851851852,23.127572016460903,1.0699588477366255,0.0
1e-06,350,optimal,2148.861847640452,30.20576131687243,12.674897119341564,0.411522633744856,0.1646090534979424
1.0,30,optimal,1063.8004587356118,16.872427983539094,11.02880658436214,0.1646090534979424,0.0
1.0,50,optimal,1063.8004587356118,17.366255144032923,11.11111111111111,0.1646090534979424,0.0
1.0,100,optimal,1063.8004587356118,25.925925925925927,11.687242798353909,0.411522633744856,0.0
1.0,120,optimal,1063.8004587356118,27.160493827160494,11.934156378600823,0.411522633744856,0.0
1.0,150,optimal,1063.8004587356118,29.46502057613169,12.921810699588477,0.411522633744856,0.0
1.0,180,optimal,1063.8004587356118,30.94650205761317,19.012345679012345,0.411522633744856,0.0
1.0,250,optimal,1063.8004587356118,38.51851851851852,23.127572016460903,1.0699588477366255,0.0
1.0,350,optimal,2148.861847640452,30.20576131687243,12.674897119341564,0.411522633744856,0.1646090534979424
1000000.0,30,optimal,5619.68292384746,16.46090534979424,11.02880658436214,0.1646090534979424,0.0
1000000.0,50,optimal,5619.68292384746,16.625514403292183,11.02880658436214,0.1646090534979424,0.0
1000000.0,100,optimal,5619.68292384746,17.28395061728395,11.02880658436214,0.1646090534979424,0.0
1000000.0,120,optimal,5619.68292384746,17.613168724279834,11.02880658436214,0.1646090534979424,0.0
1000000.0,150,optimal,5619.68292384746,18.35390946502057,11.11111111111111,0.1646090534979424,0.0
1000000.0,180,optimal,5619.68292384746,19.753086419753085,11.193415637860085,0.1646090534979424,0.0
1000000.0,250,optimal,5619.68292384746,22.469135802469136,11.193415637860085,0.1646090534979424,0.1646090534979424
1000000.0,350,optimal,5619.68292384746,26.502057613168724,12.016460905349794,0.1646090534979424,0.1646090534979424
