lambda,rating,connection,length,< 0.97,< 0.95,< 0.92,< 0.9
1e-06,30,nearest,1057.1784707977204,3.603415955009373,0.2707769214746928,0.0416579879191835,0.0
1e-06,50,nearest,1057.1784707977204,8.248281607998333,2.3953343053530514,0.0416579879191835,0.0
1e-06,100,nearest,1057.1784707977204,14.496979795875859,7.415121849614664,2.5619662570297854,0.7706727765048949
1e-06,120,nearest,1057.1784707977204,15.33013955425953,11.122682774421996,3.8950218704436574,2.457821287231827
1e-06,150,nearest,1057.1784707977204,17.100604040824827,12.997292230785254,7.0193709643824205,3.8325348885648824
1e-06,180,nearest,1057.1784707977204,17.62132888981462,13.455530097896272,7.894188710685274,6.977712976463237
1e-06,250,nearest,1057.1784707977204,18.496146636117476,15.767548427410956,12.643199333472193,10.872734846906894
1e-06,350,nearest,1057.1784707977204,21.453863778379503,16.829827119350135,13.642991043532597,12.95563424286607
1.0,30,nearest,1057.1784707977204,3.603415955009373,0.2707769214746928,0.0416579879191835,0.0
1.0,50,nearest,1057.1784707977204,8.248281607998333,2.3953343053530514,0.0416579879191835,0.0
1.0,100,nearest,1057.1784707977204,14.496979795875859,7.415121849614664,2.5619662570297854,0.7706727765048949
1.0,120,nearest,1057.1784707977204,15.33013955425953,11.122682774421996,3.8950218704436574,2.457821287231827
1.0,150,nearest,1057.1784707977204,17.100604040824827,12.997292230785254,7.0193709643824205,3.8325348885648824
1.0,180,nearest,1057.1784707977204,17.62132888981462,13.455530097896272,7.894188710685274,6.977712976463237
1.0,250,nearest,1057.1784707977204,18.496146636117476,15.767548427410956,12.643199333472193,10.872734846906894
1.0,350,nearest,1057.1784707977204,21.453863778379503,16.829827119350135,13.642991043532597,12.95563424286607
1000000.0,30,nearest,1057.1784707977204,3.603415955009373,0.2707769214746928,0.0416579879191835,0.0
1000000.0,50,nearest,1057.1784707977204,8.248281607998333,2.3953343053530514,0.0416579879191835,0.0
1000000.0,100,nearest,1057.1784707977204,14.496979795875859,7.415121849614664,2.5619662570297854,0.7706727765048949
1000000.0,120,nearest,1057.1784707977204,15.33013955425953,11.122682774421996,3.8950218704436574,2.457821287231827
1000000.0,150,nearest,1057.1784707977204,17.100604040824827,12.997292230785254,7.0193709643824205,3.8325348885648824
1000000.0,180,nearest,1057.1784707977204,17.62132888981462,13.455530097896272,7.894188710685274,6.977712976463237
1000000.0,250,nearest,1057.1784707977204,18.496146636117476,15.767548427410956,12.643199333472193,10.872734846906894
1000000.0,350,nearest,1057.1784707977204,21.453863778379503,16.829827119350135,13.642991043532597,12.95563424286607
1e-06,30,optimal,1057.1784707977204,3.603415955009373,0.2707769214746928,0.0416579879191835,0.0
1e-06,50,optimal,1057.1784707977204,8.248281607998333,2.3953343053530514,0.0416579879191835,0.0
1e-06,100,optimal,1069.4573826938285,4.644865652988961,0.9997917100604041,0.0416579879191835,0.0
1e-06,120,optimal,1098.7445421199081,5.35305144761508,1.0831076858987712,0.0416579879191835,0.0
1e-06,150,optimal,1241.3118677554885,6.873568006665278,0.5832118308685691,0.0416579879191835,0.0
1e-06,180,optimal,1279.048996458354,5.040616538221204,0.9789627161008123,0.0416579879191835,0.0
1e-06,250,optimal,1422.8376995618455,7.1443449281399705,2.999375130181212,0.12497396375755052,0.0
1e-06,350,optimal,1619.4356352221803,8.602374505311394,3.4784419912518225,0.9789627161008123,0.10414496979795876
1.0,30,optimal,1061.0074134169845,1.2705686315350968,0.2707769214746928,0.0416579879191835,0.0
1.0,50,optimal,1098.7445421199081,1.3122266194542804,0.2707769214746928,0.0416579879191835,0.0
1.0,100,optimal,1279.048996458354,2.0204124140804,0.3124349093938763,0.0416579879191835,0.0
1.0,120,optimal,1279.048996458354,2.791085190585295,0.3749218912726515,0.0416579879191835,0.0
1.0,150,optimal,1279.048996458354,4.457404707352635,0.5832118308685691,0.0416579879191835,0.0
1.0,180,optimal,1279.048996458354,5.040616538221204,0.9789627161008123,0.0416579879191835,0.0
1.0,250,optimal,1516.9042639412219,14.663611747552594,6.123724224119975,0.12497396375755052,0.0
1.0,350,optimal,1619.4356352221803,8.602374505311394,3.4784419912518225,0.9789627161008123,0.10414496979795876
1000000.0,30,optimal,3922.3066524591413,1.2497396375755052,0.2707769214746928,0.0416579879191835,0.0
1000000.0,50,optimal,8145.270871663699,1.2705686315350968,0.2707769214746928,0.0416579879191835,0.0
1000000.0,100,optimal,5555.155851631251,1.2913976254946886,0.2707769214746928,0.0416579879191835,0.0
1000000.0,120,optimal,10867.197975146002,1.2705686315350968,0.2707769214746928,0.0416579879191835,0.0
1000000.0,150,optimal,6154.235714671144,1.2913976254946886,0.2707769214746928,0.0416579879191835,0.0
1000000.0,180,optimal,4745.9905355335795,1.3538846073734638,0.2707769214746928,0.0416579879191835,0.0
1000000.0,250,optimal,3781.855222835904,1.4372005832118309,0.2707769214746928,0.0416579879191835,0.0
1000000.0,350,optimal,20730.66988991032,1.333055613413872,0.3124349093938763,0.0416579879191835,0.0
