lambda,rating,connection,length,< 0.97,< 0.95,< 0.92,< 0.9
1.0,30,nearest,552.976040673675,10.694249649368864,2.8401122019635343,0.4207573632538569,0.1402524544179523
1.0,50,nearest,552.976040673675,10.729312762973352,2.8401122019635343,0.4207573632538569,0.1402524544179523
1.0,100,nearest,552.976040673675,13.043478260869565,3.050490883590463,0.4207573632538569,0.1402524544179523
1.0,120,nearest,552.976040673675,16.479663394109398,3.681626928471248,0.4207573632538569,0.1402524544179523
1.0,150,nearest,552.976040673675,18.828892005610097,4.5231416549789625,0.4908835904628331,0.1402524544179523
1.0,180,nearest,552.976040673675,19.91584852734923,6.767180925666199,1.262272089761571,0.1402524544179523
1.0,250,nearest,552.976040673675,20.72230014025245,10.834502103786816,2.1037868162692845,0.9817671809256662
1.0,350,nearest,552.976040673675,20.862552594670408,12.342215988779804,6.100981767180926,2.1739130434782608
1e-06,30,optimal,,,,,
1e-06,50,optimal,,,,,
1e-06,100,optimal,,,,,
1e-06,120,optimal,,,,,
1e-06,150,optimal,,,,,
1e-06,180,optimal,,,,,
1e-06,250,optimal,,,,,
1e-06,350,optimal,,,,,
1.0,30,optimal,,,,,
1.0,50,optimal,,,,,
1.0,100,optimal,,,,,
1.0,120,optimal,,,,,
1.0,150,optimal,,,,,
1.0,180,optimal,,,,,
1.0,250,optimal,,,,,
1.0,350,optimal,,,,,
1000000.0,30,optimal,,,,,
1000000.0,50,optimal,,,,,
1000000.0,100,optimal,,,,,
1000000.0,120,optimal,,,,,
1000000.0,150,optimal,,,,,
1000000.0,180,optimal,,,,,
1000000.0,250,optimal,,,,,
1000000.0,350,optimal,,,,,
