lambda,rating,connection,length,< 0.97,< 0.95,< 0.92,< 0.9
1.0,30,nearest,880.1066616532626,6.032388663967612,2.145748987854251,0.48582995951417,0.2834008097165992
1.0,50,nearest,880.1066616532626,6.437246963562753,4.089068825910931,0.931174089068826,0.3238866396761133
1.0,100,nearest,880.1066616532626,9.392712550607287,5.2631578947368425,3.684210526315789,1.5789473684210529
1.0,120,nearest,880.1066616532626,9.959514170040483,6.113360323886639,3.8461538461538463,3.19838056680162
1.0,150,nearest,880.1066616532626,10.647773279352228,6.761133603238866,4.331983805668016,3.562753036437247
1.0,180,nearest,880.1066616532626,11.45748987854251,8.097165991902834,4.8582995951417,4.17004048582996
1.0,250,nearest,880.1066616532626,18.05668016194332,9.352226720647772,5.991902834008097,4.817813765182186
1.0,350,nearest,880.1066616532626,21.65991902834008,10.809716599190285,7.935222672064778,6.275303643724697
1e-06,30,optimal,,,,,
1e-06,50,optimal,,,,,
1e-06,100,optimal,,,,,
1e-06,120,optimal,,,,,
1e-06,150,optimal,,,,,
1e-06,180,optimal,,,,,
1e-06,250,optimal,,,,,
1e-06,350,optimal,,,,,
1.0,30,optimal,,,,,
1.0,50,optimal,,,,,
1.0,100,optimal,,,,,
1.0,120,optimal,,,,,
1.0,150,optimal,,,,,
1.0,180,optimal,,,,,
1.0,250,optimal,,,,,
1.0,350,optimal,,,,,
1000000.0,30,optimal,,,,,
1000000.0,50,optimal,,,,,
1000000.0,100,optimal,,,,,
1000000.0,120,optimal,,,,,
1000000.0,150,optimal,,,,,
1000000.0,180,optimal,,,,,
1000000.0,250,optimal,,,,,
1000000.0,350,optimal,,,,,
