lambda,rating,connection,length,< 0.97,< 0.95,< 0.92,< 0.9
1.0,30,nearest,598.928198161113,0.0,0.0,0.0,0.0
1.0,50,nearest,598.928198161113,0.0,0.0,0.0,0.0
1.0,100,nearest,598.928198161113,0.0,0.0,0.0,0.0
1.0,120,nearest,598.928198161113,0.0,0.0,0.0,0.0
1.0,150,nearest,598.928198161113,1.0389610389610389,0.0,0.0,0.0
1.0,180,nearest,598.928198161113,1.9047619047619049,0.0,0.0,0.0
1.0,250,nearest,598.928198161113,2.51082251082251,0.7792207792207793,0.0,0.0
1.0,350,nearest,598.928198161113,2.9437229437229435,1.9913419913419916,0.0,0.0
1e-06,30,optimal,598.928198161113,0.0,0.0,0.0,0.0
1e-06,50,optimal,598.928198161113,0.0,0.0,0.0,0.0
1e-06,100,optimal,598.928198161113,0.0,0.0,0.0,0.0
1e-06,120,optimal,598.928198161113,0.0,0.0,0.0,0.0
1e-06,150,optimal,598.928198161113,1.0389610389610389,0.0,0.0,0.0
1e-06,180,optimal,598.928198161113,1.9047619047619049,0.0,0.0,0.0
1e-06,250,optimal,598.928198161113,2.51082251082251,0.7792207792207793,0.0,0.0
1e-06,350,optimal,598.928198161113,2.9437229437229435,1.9913419913419916,0.0,0.0
1.0,30,optimal,598.928198161113,0.0,0.0,0.0,0.0
1.0,50,optimal,598.928198161113,0.0,0.0,0.0,0.0
1.0,100,optimal,598.928198161113,0.0,0.0,0.0,0.0
1.0,120,optimal,598.928198161113,0.0,0.0,0.0,0.0
1.0,150,optimal,598.928198161113,1.0389610389610389,0.0,0.0,0.0
1.0,180,optimal,598.928198161113,1.9047619047619049,0.0,0.0,0.0
1.0,250,optimal,598.928198161113,2.51082251082251,0.7792207792207793,0.0,0.0
1.0,350,optimal,657.5969141119713,2.4242424242424243,0.6926406926406926,0.0,0.0
1000000.0,30,optimal,1121.259226192924,0.0,0.0,0.0,0.0
1000000.0,50,optimal,1121.259226192924,0.0,0.0,0.0,0.0
1000000.0,100,optimal,1191.461923301249,0.0,0.0,0.0,0.0
1000000.0,120,optimal,1191.461923301249,0.0,0.0,0.0,0.0
1000000.0,150,optimal,1191.461923301249,0.0,0.0,0.0,0.0
1000000.0,180,optimal,1217.4280246372946,0.0,0.0,0.0,0.0
1000000.0,250,optimal,1248.7445346140155,0.0,0.0,0.0,0.0
1000000.0,350,optimal,1248.7445346140155,0.0,0.0,0.0,0.0
